"claim.nr";"type";"hidden";"occ.date";"occ.year";"occ.year.fact";"occ.month";"rep.delay";"rep.date";"rep.year";"rep.year.fact";"rep.month";"settlement.date";"settlement.year";"open_obs1";"open_obs2";"open_obs3";"open_obs4";"open_obs5";"open_obs6";"open_obs7";"open_obs8";"open_obs9";"settlement_obs1";"settlement_obs2";"settlement_obs3";"settlement_obs4";"settlement_obs5";"settlement_obs6";"settlement_obs7";"settlement_obs8";"settlement_obs9";"size_obs1";"size_obs2";"size_obs3";"size_obs4";"size_obs5";"size_obs6";"size_obs7";"size_obs8";"size_obs9"
32;"T3";"M";"2020-01-21";2020;"2020";"1";0.933607118412047;"2020-12-27";9;"9";"12";"2032-06-25";2032;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1008.57854578222;412.96092408117;0;0;0;544.2411068458;547.897171257102;0
34;"T1";"M";"2012-09-01";2012;"2012";"9";0.692676249144422;"2013-05-12";2;"2";"5";"2014-07-23";2014;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;855.79073891101;0;0;0;0;0;0;0;0
35;"T1";"L";"2017-10-19";2017;"2017";"10";0.0136892539356605;"2017-10-24";6;"6";"10";"2019-11-19";2019;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;12.7193837765704;289.631876173416;0;0;0;0;0;0;0
36;"T2";"M";"2017-12-09";2017;"2017";"12";0.131416837782341;"2018-01-26";7;"7";"1";"2020-10-15";2020;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;168.012434207827;862.953765011899;0;0;0;0;0;0;0
37;"T3";"H";"2018-02-26";2018;"2018";"2";0.164271047227926;"2018-04-27";7;"7";"4";"2019-07-13";2019;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;115.58037339274;0;0;0;0;0;0;0;0
38;"T1";"M";"2016-07-01";2016;"2016";"7";0.418891170431211;"2016-12-01";5;"5";"12";"2017-07-18";2017;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;593.914680442813;0;0;0;0;0;0;0
39;"T2";"H";"2016-07-05";2016;"2016";"7";0.355920602327173;"2016-11-12";5;"5";"11";"2019-10-20";2019;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;197.51551565094;40.2926330138853;170.277863659513;0;0;0;0;0
41;"T1";"L";"2013-12-16";2013;"2013";"12";0.328542094455852;"2014-04-15";3;"3";"4";"2015-02-01";2015;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;395.80312454462;0;0;0;0;0;0;0;0
42;"T1";"H";"2015-11-29";2015;"2015";"11";0.692676249144422;"2016-08-08";5;"5";"8";"2021-03-16";2021;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;352.561256102984;0;270.928878469552;435.408172860056;699.239984111046;0;0;0;0
43;"T1";"M";"2019-07-08";2019;"2019";"7";0.0383299110198494;"2019-07-22";8;"8";"7";"2022-04-01";2022;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;849.580654203687;444.210557350646;1210.4027857307;0;0;0;0;0;0
44;"T3";"L";"2015-05-02";2015;"2015";"5";0.528405201916496;"2015-11-11";4;"4";"11";"2021-01-02";2021;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;112.044457255703;0;562.530998926321;0;0;0;0;0;0
45;"T1";"H";"2017-01-23";2017;"2017";"1";0.369609856262834;"2017-06-07";6;"6";"6";"2018-08-21";2018;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;358.234655983774;0;0;0;0;0;0;0;0
46;"T3";"L";"2014-03-10";2014;"2014";"3";0.147843942505133;"2014-05-03";3;"3";"5";"2027-02-21";2027;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;304.572801721842;0;80.7182652570544;0;843.105971440882;3122.45877029611;2538.47560940797;0
47;"T1";"H";"2017-02-16";2017;"2017";"2";0.388774811772758;"2017-07-08";6;"6";"7";"2025-07-04";2025;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;81.2308185864729;690.60137210107;16.2718255248975;56.5519536446209;1042.91424242878;853.841604311954;2430.98191534808;8536.44184970966;648.118037747535
48;"T1";"M";"2018-01-15";2018;"2018";"1";0.265571526351814;"2018-04-22";7;"7";"4";"2021-03-19";2021;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;306.441123586951;283.289865053621;667.990901404362;0;0;0;0;0;0
50;"T2";"H";"2017-03-14";2017;"2017";"3";0.0574948665297741;"2017-04-04";6;"6";"4";"2021-11-18";2021;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;547.407727808404;255.841691382952;391.783822565265;1699.8485506981;0;0;0;0
51;"T1";"M";"2018-09-28";2018;"2018";"9";0.0793976728268309;"2018-10-27";7;"7";"10";"2019-02-08";2019;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;"T2";"M";"2020-04-13";2020;"2020";"4";0.0657084188911704;"2020-05-07";9;"9";"5";"2025-10-24";2025;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;64.1429288642258;113.55488139128;265.078968341885;148.811541812992;317.919522546588;0;0;0;0
54;"T2";"M";"2011-06-21";2011;"2011";"6";0.728268309377139;"2012-03-13";1;"1";"3";"2013-12-06";2013;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;346.427946990203;659.29982353104;0;0;0;0;0;0;0
55;"T2";"H";"2016-08-19";2016;"2016";"8";0.517453798767967;"2017-02-24";6;"6";"2";"2018-01-14";2018;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;933.440189734157;0;0;0;0;0;0;0;0
57;"T3";"M";"2013-05-06";2013;"2013";"5";0.336755646817248;"2013-09-06";2;"2";"9";"2021-06-26";2021;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;196.461143175212;190.226589746525;361.94554687842;891.345467183529;0;1547.26670638809;1053.15601351473;0;0
58;"T1";"L";"2016-08-22";2016;"2016";"8";0.136892539356605;"2016-10-11";5;"5";"10";"2017-12-21";2017;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;437.117948464521;0;0;0;0;0;0;0;0
59;"T1";"M";"2015-09-18";2015;"2015";"9";0.125941136208077;"2015-11-03";4;"4";"11";"2018-11-08";2018;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;212.576766925279;0;599.396192149843;0;0;0;0;0
60;"T2";"H";"2016-10-18";2016;"2016";"10";0.70362765229295;"2017-07-02";6;"6";"7";"2017-11-24";2017;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;"T1";"H";"2017-10-28";2017;"2017";"10";0.240930869267625;"2018-01-24";7;"7";"1";"2019-12-05";2019;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;698.22631478362;369.994445792152;0;0;0;0;0;0;0
62;"T2";"L";"2013-11-14";2013;"2013";"11";0.459958932238193;"2014-05-01";3;"3";"5";"2017-08-03";2017;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1134.49833087676;147.324035676978;3311.43588943882;511.91614375347;0;0;0;0;0
63;"T2";"M";"2013-07-27";2013;"2013";"7";0.161533196440794;"2013-09-24";2;"2";"9";"2017-05-31";2017;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;8.74242491827607;571.013014643969;0;288.380191579;295.044780316732;0;0;0;0
64;"T1";"L";"2014-08-23";2014;"2014";"8";0.0602327173169062;"2014-09-14";3;"3";"9";"2017-09-02";2017;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;65.8598727983732;4336.67184085978;259.962452299543;1409.56904784073;0;0;0;0;0
66;"T3";"M";"2017-05-13";2017;"2017";"5";0.249144421629021;"2017-08-12";6;"6";"8";"2017-09-12";2017;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;717.093138789945;0;0;0;0;0;0;0;0
67;"T1";"H";"2012-12-04";2012;"2012";"12";0.15605749486653;"2013-01-30";2;"2";"1";"2013-03-15";2013;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;105.143144008903;0;0;0;0;0;0;0;0
68;"T1";"L";"2013-11-26";2013;"2013";"11";0.0657084188911704;"2013-12-20";2;"2";"12";"2016-09-23";2016;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;494.572716024782;65.4458687214755;611.0836273222;0;0;0;0;0
70;"T3";"L";"2014-10-08";2014;"2014";"10";0.372347707049966;"2015-02-21";4;"4";"2";"2015-05-26";2015;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;19.5482758632543;0;0;0;0;0;0;0;0
71;"T1";"M";"2014-11-01";2014;"2014";"11";0.0355920602327173;"2014-11-14";3;"3";"11";"2018-08-29";2018;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;12.4834002957553;270.586123527015;0;1776.40795944332;196.239545454855;0;0;0;0
72;"T2";"H";"2016-02-19";2016;"2016";"2";0.624229979466119;"2016-10-04";5;"5";"10";"2017-06-16";2017;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;56.7960748800643;313.461514955506;0;0;0;0;0;0;0
73;"T2";"L";"2013-10-26";2013;"2013";"10";0.301163586584531;"2014-02-13";3;"3";"2";"2016-07-16";2016;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1169.87939137587;612.154869020315;0;0;0;0;0;0;0
74;"T1";"L";"2016-12-21";2016;"2016";"12";0.161533196440794;"2017-02-18";6;"6";"2";"2017-08-19";2017;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;437.957187841105;0;0;0;0;0;0;0;0
75;"T1";"L";"2013-02-01";2013;"2013";"2";0.197125256673511;"2013-04-14";2;"2";"4";"2015-02-21";2015;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;267.12582020485;28.7930956778356;0;0;0;0;0;0;0
76;"T3";"H";"2019-04-21";2019;"2019";"4";0.394250513347023;"2019-09-12";8;"8";"9";"2019-12-15";2019;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;"T3";"M";"2012-09-09";2012;"2012";"9";0.150581793292266;"2012-11-03";1;"1";"11";"2023-01-17";2023;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;124.853055322005;0;0;0;0;0;364.605952893695;0
78;"T1";"H";"2014-11-26";2014;"2014";"11";0.355920602327173;"2015-04-05";4;"4";"4";"2016-11-03";2016;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;132.125954327968;0;0;0;0;0;0;0;0
79;"T2";"M";"2014-02-24";2014;"2014";"2";0.320328542094456;"2014-06-21";3;"3";"6";"2016-07-11";2016;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;63.1721536335832;315.106384842707;342.231020714762;0;0;0;0;0;0
81;"T1";"M";"2014-06-28";2014;"2014";"6";0.145106091718001;"2014-08-20";3;"3";"8";"2016-05-07";2016;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;46.764714739113;309.419117582407;0;0;0;0;0;0;0
82;"T2";"M";"2014-06-27";2014;"2014";"6";0.470910335386721;"2014-12-16";3;"3";"12";"2019-12-26";2019;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;907.253008108158;720.683454733511;739.108165263473;3102.69693607242;4708.92134214861;0;0;0
83;"T1";"H";"2012-04-22";2012;"2012";"4";0.0219028062970568;"2012-04-30";1;"1";"4";"2013-01-03";2013;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;349.841587792489;0;0;0;0;0;0;0;0
85;"T2";"M";"2012-09-22";2012;"2012";"9";0.188911704312115;"2012-11-30";1;"1";"11";"2016-08-18";2016;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1147.06988152557;397.304046278375;0;0;0;0;0;0
86;"T1";"L";"2014-03-29";2014;"2014";"3";0.125941136208077;"2014-05-14";3;"3";"5";"2015-08-25";2015;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;308.197457306817;1309.44968470491;0;0;0;0;0;0;0
87;"T2";"M";"2020-08-15";2020;"2020";"8";0.11772758384668;"2020-09-27";9;"9";"9";"2024-09-27";2024;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;608.955569554187;0;309.194687720994;477.263922187731;0;0;0;0
88;"T1";"L";"2020-05-28";2020;"2020";"5";0.0438056125941136;"2020-06-13";9;"9";"6";"2020-06-30";2020;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89;"T2";"L";"2013-04-14";2013;"2013";"4";0.49555099247091;"2013-10-12";2;"2";"10";"2014-09-01";2014;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1153.91707635436;0;0;0;0;0;0;0
90;"T2";"M";"2019-05-10";2019;"2019";"5";0.232717316906229;"2019-08-03";8;"8";"8";"2023-07-16";2023;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;470.718907193933;560.368802286481;1758.74586841102;0;1517.67880919606;0;0;0;0
91;"T1";"M";"2020-07-29";2020;"2020";"7";0.027378507871321;"2020-08-08";9;"9";"8";"2022-07-14";2022;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;83.7918332480419;689.09826744177;0;0;0;0;0;0;0
92;"T1";"M";"2013-02-07";2013;"2013";"2";0.0848733744010951;"2013-03-10";2;"2";"3";"2013-11-09";2013;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;223.543314908303;0;0;0;0;0;0;0;0
94;"T1";"M";"2015-03-10";2015;"2015";"3";0.0465434633812457;"2015-03-27";4;"4";"3";"2016-06-28";2016;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;91.0646531475143;0;0;0;0;0;0;0;0
95;"T2";"M";"2018-06-28";2018;"2018";"6";0.369609856262834;"2018-11-10";7;"7";"11";"2019-06-23";2019;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;931.843548740773;379.488679134641;0;0;0;0;0;0;0
96;"T1";"L";"2013-03-10";2013;"2013";"3";0.186173853524983;"2013-05-17";2;"2";"5";"2014-04-14";2014;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;167.812852914175;439.609963221706;0;0;0;0;0;0;0
97;"T1";"M";"2016-04-18";2016;"2016";"4";0.0136892539356605;"2016-04-23";5;"5";"4";"2020-10-30";2020;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;74.1855836619866;240.306171298693;0;99.3413260589233;1027.8075894438;0;0;0;0
99;"T2";"M";"2017-08-12";2017;"2017";"8";0.295687885010267;"2017-11-28";6;"6";"11";"2020-09-30";2020;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;9.42476404670409;85.416528627496;610.649593462931;104.164481513405;0;0;0;0;0
100;"T1";"M";"2015-05-02";2015;"2015";"5";0.339493497604381;"2015-09-03";4;"4";"9";"2016-05-11";2016;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;"T3";"L";"2017-04-21";2017;"2017";"4";0.158795345653662;"2017-06-18";6;"6";"6";"2018-03-03";2018;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;141.441782825835;0;0;0;0;0;0;0;0
102;"T2";"H";"2013-08-20";2013;"2013";"8";0.229979466119097;"2013-11-12";2;"2";"11";"2017-11-17";2017;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;404.601061761543;214.05589670157;0;0;228.4057244149;0;0;0;0
103;"T1";"H";"2019-11-26";2019;"2019";"11";0.197125256673511;"2020-02-06";9;"9";"2";"2026-05-02";2026;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;70.0807119184366;304.729473609943;1922.69794285517;1283.04898026052;3336.90689990313;0;3179.09560557722;0;0
104;"T2";"L";"2011-07-11";2011;"2011";"7";0.511978097193703;"2012-01-14";1;"1";"1";"2013-06-24";2013;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;185.648711660662;0;0;0;0;0;0;0;0
105;"T2";"L";"2014-08-12";2014;"2014";"8";0.761122518822724;"2015-05-17";4;"4";"5";"2016-05-10";2016;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1286.4343863716;198.599859550053;0;0;0;0;0;0;0
107;"T1";"M";"2017-04-15";2017;"2017";"4";0.145106091718001;"2017-06-07";6;"6";"6";"2018-08-11";2018;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;52.3588999289417;0;0;0;0;0;0;0;0
108;"T1";"M";"2018-10-22";2018;"2018";"10";0.235455167693361;"2019-01-16";8;"8";"1";"2019-06-22";2019;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;245.159461864363;0;0;0;0;0;0;0;0
109;"T3";"H";"2016-07-04";2016;"2016";"7";0.42984257357974;"2016-12-08";5;"5";"12";"2023-02-03";2023;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;929.408993883912;0;192.687386235363;0;2230.9961987311;270.713217913194;9832.29782552022;0;0
110;"T1";"H";"2016-12-09";2016;"2016";"12";0.424366872005476;"2017-05-13";6;"6";"5";"2017-12-04";2017;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;154.107825489183;0;0;0;0;0;0;0;0
111;"T3";"L";"2017-12-12";2017;"2017";"12";0.501026694045175;"2018-06-13";7;"7";"6";"2025-02-07";2025;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;432.370418114943;3632.30822187535;0;869.965194118898;0;847.580462528533;145.957381900458;0;0
112;"T2";"M";"2017-12-08";2017;"2017";"12";0.109514031485284;"2018-01-17";7;"7";"1";"2018-07-03";2018;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;608.217580030057;0;0;0;0;0;0;0;0
113;"T2";"M";"2020-02-19";2020;"2020";"2";0.10403832991102;"2020-03-28";9;"9";"3";"2027-02-25";2027;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;525.325143764303;545.410929623563;0;972.082101309738;0;567.545187829595;235.016469436918;0;0
114;"T1";"M";"2014-03-02";2014;"2014";"3";0.0492813141683778;"2014-03-20";3;"3";"3";"2015-04-01";2015;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;991.551585966053;154.535345645862;0;0;0;0;0;0;0
115;"T2";"L";"2012-05-07";2012;"2012";"5";0.323066392881588;"2012-09-02";1;"1";"9";"2012-12-15";2012;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1042.41261368109;0;0;0;0;0;0;0;0
116;"T3";"L";"2015-01-14";2015;"2015";"1";0.668035592060233;"2015-09-15";4;"4";"9";"2019-06-25";2019;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;210.977512275181;2296.69799987324;0;0;0;0;0;0
117;"T3";"L";"2017-04-20";2017;"2017";"4";0.366872005475702;"2017-09-01";6;"6";"9";"2020-09-29";2020;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;86.3439217984403;426.294700562477;816.125042944172;2798.5453830999;0;0;0;0;0
119;"T1";"L";"2012-09-16";2012;"2012";"9";0.114989733059548;"2012-10-28";1;"1";"10";"2012-11-28";2012;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;107.21551697287;0;0;0;0;0;0;0;0
120;"T1";"L";"2019-10-02";2019;"2019";"10";0.0164271047227926;"2019-10-08";8;"8";"10";"2021-06-08";2021;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;111.197661315018;0;0;0;0;0;0;0
121;"T1";"M";"2020-06-04";2020;"2020";"6";0.558521560574949;"2020-12-25";9;"9";"12";"2027-10-27";2027;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1532.12882739339;121.363990837367;995.589279521201;1786.41143502243;1557.92714634986;528.9682928462;748.460561447727;0
122;"T1";"M";"2018-05-29";2018;"2018";"5";0.0684462696783025;"2018-06-23";7;"7";"6";"2019-09-11";2019;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1047.03075333761;223.826286763908;0;0;0;0;0;0;0
123;"T1";"M";"2018-09-10";2018;"2018";"9";0.342231348391513;"2019-01-13";8;"8";"1";"2022-08-21";2022;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;121.011592421447;338.839235936144;0;0;0;0;0;0;0
125;"T1";"H";"2012-12-10";2012;"2012";"12";0.0301163586584531;"2012-12-21";1;"1";"12";"2020-02-26";2020;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;318.436091287746;0;1016.69539278782;1030.28808995994;680.936142832217;520.208835394513;2302.61186773022;0
